ID,RENDIMIENTO_GLOBAL
881747,bajo
580362,medio-alto
22858,alto
447838,bajo
691746,bajo
279324,alto
161659,medio-bajo
422331,bajo
661473,alto
813465,medio-alto
138167,medio-alto
977709,alto
219703,bajo
500672,alto
262891,bajo
826088,alto
293110,bajo
818259,alto
428177,alto
148749,alto
799182,medio-alto
234257,alto
904677,alto
115034,alto
918425,bajo
459061,alto
734292,medio-alto
25000,alto
880620,alto
707507,alto
563877,alto
549313,bajo
924367,alto
921526,alto
501889,alto
218042,alto
845503,medio-alto
83447,bajo
116549,bajo
334978,alto
461457,alto
150090,medio-bajo
543166,alto
933354,alto
981442,alto
502981,alto
561184,alto
151695,alto
677316,medio-bajo
498736,bajo
563618,medio-alto
64112,alto
509342,bajo
778533,alto
277012,alto
380454,alto
984139,alto
566285,alto
128025,medio-bajo
799233,alto
607397,bajo
665426,alto
852832,alto
56862,medio-bajo
156420,bajo
626763,alto
653429,alto
956369,bajo
647378,medio-alto
879008,bajo
551927,bajo
487126,bajo
228005,alto
154031,alto
705181,bajo
747118,alto
569122,bajo
101090,medio-bajo
171826,alto
20159,alto
434789,medio-bajo
554318,alto
691386,alto
686278,alto
38267,medio-alto
355451,bajo
3235,alto
445371,medio-bajo
68160,alto
978506,medio-bajo
84354,bajo
750964,bajo
827175,alto
126608,alto
673309,bajo
291376,alto
650804,alto
886418,medio-alto
571007,bajo
321382,alto
857458,alto
858235,alto
675331,alto
946594,bajo
750112,bajo
311183,medio-alto
12285,alto
729167,medio-bajo
401319,alto
876541,alto
89935,alto
446440,alto
773047,bajo
47756,bajo
442794,alto
550549,bajo
48668,alto
234713,bajo
399113,alto
359512,medio-bajo
257172,medio-bajo
958636,bajo
810017,medio-bajo
988058,alto
746961,medio-alto
640927,medio-bajo
475524,bajo
454302,alto
323311,bajo
794861,bajo
897629,alto
701462,alto
592080,alto
564849,alto
270585,medio-alto
238044,alto
494390,alto
943233,alto
136891,medio-alto
432110,alto
379942,bajo
621982,alto
650243,alto
697884,alto
498752,alto
824211,alto
839304,alto
482026,alto
459429,bajo
414688,alto
978832,alto
243984,medio-alto
980614,alto
242911,alto
679254,bajo
672102,alto
33192,alto
17477,alto
254720,alto
486492,bajo
787991,alto
254230,bajo
195489,alto
398704,alto
858080,medio-bajo
390568,alto
638588,bajo
520909,medio-bajo
658225,alto
112439,bajo
225317,medio-alto
449257,bajo
293422,medio-alto
378026,alto
121214,bajo
968439,alto
529373,bajo
963110,bajo
859999,alto
164438,medio-bajo
411350,alto
62660,alto
502542,bajo
270988,alto
105343,bajo
350200,alto
852174,bajo
306223,alto
638735,alto
403601,alto
162544,alto
55472,bajo
281625,alto
811895,alto
552620,bajo
837784,bajo
476322,alto
110090,medio-alto
277774,bajo
674712,alto
348002,medio-alto
440029,medio-bajo
285884,medio-alto
417251,alto
87965,alto
298537,bajo
473664,alto
221053,bajo
875203,medio-alto
565820,medio-bajo
100334,alto
973020,alto
392558,bajo
902796,alto
474282,alto
664656,medio-alto
296316,bajo
127415,bajo
140403,bajo
420625,bajo
105196,alto
245079,bajo
841250,alto
145703,alto
562890,alto
880498,medio-alto
428377,medio-bajo
284006,alto
251771,alto
187419,medio-alto
526025,alto
622416,medio-alto
261908,alto
54722,alto
615235,alto
148859,medio-bajo
127940,medio-bajo
664551,bajo
569339,medio-bajo
67943,alto
109858,bajo
285984,bajo
447487,alto
760773,alto
837043,bajo
758730,bajo
825390,alto
259415,alto
761568,alto
884908,bajo
987853,medio-bajo
298706,medio-bajo
985730,alto
125363,medio-bajo
301022,medio-alto
482222,alto
890225,medio-alto
963437,alto
955533,alto
935195,alto
733226,alto
380062,alto
574505,alto
752159,alto
957044,bajo
267021,alto
677311,alto
187524,alto
888448,bajo
665705,alto
743938,alto
739217,medio-alto
476837,alto
505984,alto
759967,alto
236579,alto
170911,alto
380829,alto
756434,alto
363513,alto
804160,alto
35995,medio-bajo
116990,alto
909709,bajo
264926,bajo
599892,bajo
686689,alto
514717,bajo
399914,alto
417461,bajo
676675,bajo
442984,bajo
99967,bajo
867748,alto
369468,alto
399467,alto
703801,medio-bajo
46051,alto
563757,alto
631530,bajo
522673,alto
591095,alto
11925,medio-bajo
604380,alto
536879,bajo
210900,alto
62466,alto
44314,alto
691692,alto
779188,alto
518883,alto
317089,medio-bajo
569983,medio-alto
460172,alto
395709,alto
219215,alto
928539,bajo
339014,bajo
229903,alto
252067,bajo
590912,bajo
853339,bajo
55811,alto
436909,medio-bajo
398404,bajo
954200,medio-alto
963992,bajo
136855,medio-alto
607964,bajo
215103,alto
538852,bajo
485839,alto
266129,alto
855955,alto
837187,alto
579199,alto
977915,alto
484009,bajo
448615,bajo
111853,medio-alto
362898,alto
239355,medio-alto
884052,alto
788391,alto
48202,medio-alto
594994,alto
520539,bajo
763648,alto
740172,alto
116748,medio-alto
819016,bajo
386525,alto
780488,bajo
9481,alto
589732,alto
706792,alto
107848,alto
521903,bajo
621277,bajo
754152,alto
151040,alto
421512,medio-alto
319476,alto
258787,bajo
921159,bajo
255541,medio-alto
914367,alto
94356,alto
147778,medio-bajo
462101,medio-alto
37990,alto
115689,alto
978774,alto
631850,alto
785708,alto
71402,bajo
105119,bajo
553238,bajo
682313,bajo
761159,bajo
688822,alto
752244,alto
617599,alto
872682,alto
606948,medio-alto
212112,bajo
926883,medio-alto
247911,alto
170826,medio-alto
353967,alto
511874,medio-alto
417895,alto
250660,alto
818175,bajo
937314,alto
595421,alto
5632,alto
765441,alto
707540,bajo
730984,alto
281114,bajo
219716,bajo
170800,alto
454096,bajo
76017,alto
644636,bajo
526969,alto
294418,alto
782983,bajo
333072,alto
437094,medio-alto
839248,alto
199341,bajo
271935,bajo
701139,alto
807557,bajo
630863,alto
965291,bajo
777755,bajo
357252,alto
670082,bajo
748044,bajo
282888,medio-alto
817060,bajo
664667,alto
453519,alto
585354,alto
925021,medio-alto
230474,alto
744025,medio-alto
43931,bajo
433838,alto
219531,alto
37711,alto
7640,bajo
32594,bajo
959868,alto
554399,alto
164784,alto
66073,alto
710941,alto
247221,alto
86579,medio-alto
104486,medio-alto
821805,alto
979481,alto
403101,alto
361323,alto
102984,alto
973248,alto
259476,bajo
978509,alto
933620,medio-alto
177732,medio-bajo
22524,medio-alto
288044,medio-alto
100050,alto
12407,alto
249885,alto
28892,medio-alto
245482,alto
345582,bajo
559510,bajo
878367,alto
304177,medio-alto
451542,bajo
845194,alto
435430,bajo
201031,medio-bajo
903893,bajo
227503,alto
143647,bajo
870082,alto
452606,medio-alto
799885,alto
29988,alto
479980,alto
70136,alto
266365,alto
32170,bajo
165048,alto
782461,alto
379966,alto
336324,alto
546941,bajo
319456,bajo
656238,alto
737965,alto
33167,medio-bajo
943496,alto
876878,bajo
275598,bajo
549349,alto
875568,alto
5699,bajo
32397,alto
910660,alto
740835,alto
155454,alto
983424,medio-bajo
138858,bajo
774203,bajo
524563,medio-alto
225125,alto
510863,bajo
430326,alto
861238,bajo
595168,alto
715816,alto
327249,bajo
918914,alto
338071,medio-alto
844017,alto
880202,bajo
315995,medio-bajo
866593,medio-alto
223761,bajo
610067,alto
639283,alto
653034,bajo
670750,alto
383279,bajo
960478,alto
688143,alto
700116,bajo
827339,alto
560618,bajo
752522,bajo
33141,alto
422419,alto
249953,medio-bajo
856643,alto
380034,alto
359530,bajo
300640,alto
902597,alto
413998,medio-alto
101967,alto
496038,bajo
190787,alto
321167,medio-alto
754617,alto
217734,bajo
58094,alto
726201,alto
540442,medio-alto
625379,alto
888915,alto
484932,alto
747156,alto
102046,bajo
920593,bajo
461479,alto
387508,alto
440148,bajo
544310,bajo
223112,alto
377701,medio-alto
800486,alto
671414,alto
85057,alto
912007,medio-bajo
584590,alto
185487,alto
446273,bajo
720695,medio-alto
654314,bajo
378016,medio-alto
185445,alto
888740,medio-alto
782710,alto
515448,alto
155089,medio-bajo
164087,alto
945086,alto
802905,medio-alto
555205,alto
905684,bajo
295980,bajo
283741,alto
963367,medio-bajo
818526,bajo
965424,alto
742968,alto
737775,alto
732113,bajo
765344,bajo
880951,alto
55915,bajo
740914,alto
716597,alto
665841,medio-alto
886459,alto
622102,alto
282352,bajo
762960,medio-bajo
125153,bajo
815371,medio-bajo
618192,bajo
469116,alto
454268,alto
211244,medio-bajo
613144,medio-bajo
551302,medio-alto
91464,medio-alto
481362,bajo
625938,bajo
726579,alto
753631,bajo
739543,bajo
377759,alto
234793,medio-alto
712007,medio-bajo
580788,medio-bajo
382627,bajo
973710,alto
497355,bajo
456019,bajo
522199,alto
326878,alto
416061,alto
497313,medio-alto
650676,bajo
490395,alto
413896,alto
343477,bajo
732925,alto
436468,bajo
168009,alto
729497,alto
424093,medio-alto
924636,alto
619253,alto
818472,alto
437629,alto
641566,medio-alto
745317,alto
518573,alto
909357,bajo
836369,medio-alto
96523,alto
981950,bajo
321869,bajo
48426,alto
703839,alto
580723,alto
2640,bajo
592758,medio-alto
642122,medio-alto
14052,medio-alto
559499,bajo
756392,medio-bajo
482132,medio-alto
462928,medio-alto
45390,medio-alto
902285,bajo
99753,medio-alto
637552,bajo
679340,alto
113524,medio-bajo
504502,alto
334599,alto
432373,bajo
273547,alto
847488,medio-bajo
83875,alto
781541,alto
30139,alto
269982,alto
664089,alto
582477,alto
40776,bajo
141196,alto
318349,alto
485230,alto
32687,alto
880835,bajo
409650,medio-bajo
272389,alto
188498,bajo
360081,alto
603121,medio-bajo
502747,alto
536900,alto
765380,alto
306972,alto
92953,medio-alto
807114,alto
680131,bajo
392354,medio-alto
333270,alto
390889,bajo
622839,alto
803948,medio-bajo
48066,alto
316585,alto
805036,alto
153287,alto
190675,medio-bajo
732754,alto
903369,alto
364345,alto
403854,bajo
533109,bajo
761567,bajo
404630,alto
924991,medio-bajo
600553,alto
635031,medio-alto
611558,bajo
700897,alto
380788,alto
940500,bajo
227641,alto
936722,alto
986916,bajo
786459,medio-bajo
253038,bajo
859269,alto
831487,medio-alto
514729,bajo
176846,bajo
569568,alto
61373,alto
837497,alto
282129,alto
28887,alto
449676,alto
569018,medio-alto
985502,bajo
210497,alto
319939,alto
364235,bajo
352505,alto
841094,alto
465138,alto
865174,alto
638538,alto
880925,alto
961123,alto
135306,alto
490108,medio-alto
880283,alto
654128,alto
639077,alto
210489,alto
337994,alto
515580,bajo
276389,medio-alto
340471,bajo
302737,bajo
19862,alto
892,medio-alto
26019,bajo
139571,alto
424029,medio-bajo
746656,alto
461724,alto
938674,alto
20830,bajo
953029,alto
743087,alto
878884,alto
127503,medio-alto
620775,medio-bajo
394624,alto
768770,alto
37436,medio-alto
180667,alto
150939,medio-alto
651926,alto
596670,medio-bajo
703829,medio-bajo
474486,alto
510169,alto
276616,alto
611773,alto
830881,alto
583553,alto
357361,medio-bajo
470659,alto
792260,bajo
659787,alto
869013,alto
613077,alto
723972,alto
370305,alto
815226,alto
32162,bajo
478099,bajo
516024,medio-bajo
92276,bajo
441466,bajo
626520,alto
731381,alto
830747,alto
109501,bajo
632150,medio-alto
637033,bajo
943466,alto
382766,alto
700533,medio-bajo
848788,bajo
432857,alto
769050,alto
627296,medio-alto
782166,bajo
580552,medio-alto
528621,bajo
43508,alto
284498,medio-alto
585619,medio-alto
622571,alto
361045,alto
435923,alto
100918,alto
918839,alto
650656,alto
968261,alto
352041,bajo
286414,medio-bajo
623995,alto
249975,alto
839849,bajo
229967,alto
128607,alto
656221,alto
887319,bajo
203063,medio-alto
929712,bajo
842385,alto
317619,alto
609497,medio-alto
250217,medio-alto
337056,alto
63927,alto
718892,bajo
23924,alto
9499,medio-alto
726460,medio-alto
451956,bajo
682466,alto
735385,alto
509349,bajo
114022,alto
605697,alto
679011,bajo
470037,alto
714479,alto
211837,medio-alto
431588,alto
133491,bajo
854499,alto
391703,bajo
643681,bajo
629275,medio-alto
355813,medio-bajo
935269,medio-alto
764877,alto
226016,alto
400459,alto
12575,alto
151452,alto
689096,alto
281703,alto
973775,medio-bajo
437076,alto
190351,alto
310823,alto
304213,bajo
723484,bajo
914963,medio-bajo
954781,alto
873727,alto
471605,alto
421136,bajo
421775,bajo
338300,alto
217079,alto
374702,alto
203664,alto
62413,bajo
767297,medio-alto
437845,bajo
353780,medio-bajo
465181,bajo
207300,bajo
934669,bajo
935403,medio-alto
801630,medio-alto
56865,bajo
571641,bajo
807717,alto
773174,bajo
463859,medio-alto
358895,alto
985435,alto
390377,alto
983142,alto
839894,alto
763394,medio-bajo
664396,medio-bajo
744062,bajo
939621,bajo
80230,bajo
863211,medio-alto
448651,alto
853897,medio-bajo
472034,alto
335782,alto
642256,alto
856529,bajo
433734,alto
650895,bajo
55148,alto
889562,alto
741232,alto
662665,alto
690645,medio-bajo
203998,bajo
873020,alto
713443,bajo
130687,alto
883750,alto
662241,bajo
687248,bajo
650327,alto
460658,alto
794499,medio-alto
87076,medio-bajo
109487,alto
61894,alto
507919,bajo
33667,alto
912852,alto
702512,bajo
411697,alto
541424,medio-bajo
445686,medio-bajo
802376,bajo
536178,bajo
324769,alto
557184,alto
529641,medio-alto
220715,bajo
150977,bajo
273060,bajo
987210,alto
589458,medio-alto
701873,alto
247164,bajo
620497,alto
839151,bajo
227546,bajo
315181,alto
86885,bajo
253452,alto
119170,medio-bajo
825955,alto
248407,alto
903355,medio-bajo
243616,bajo
771803,bajo
413372,alto
715174,alto
433657,bajo
511536,alto
825725,bajo
363275,alto
135484,alto
132093,alto
308607,alto
637046,bajo
664597,alto
94901,alto
60587,bajo
86432,bajo
60683,alto
891773,alto
506423,alto
928592,alto
542457,alto
581899,bajo
269452,alto
573151,alto
920958,medio-alto
970469,bajo
929868,bajo
434696,alto
466603,alto
545005,alto
589522,medio-bajo
397180,bajo
220144,alto
552456,medio-bajo
530407,medio-alto
348856,alto
816650,alto
730198,alto
36784,medio-alto
510961,bajo
240644,medio-alto
242983,alto
791242,alto
631678,alto
74508,alto
599484,alto
791345,alto
124411,bajo
674404,medio-alto
822300,bajo
128903,alto
396253,bajo
982360,alto
610909,alto
479030,bajo
857950,alto
168203,alto
345120,bajo
665003,alto
678633,bajo
732831,bajo
723556,bajo
95133,alto
564779,bajo
3977,medio-alto
398093,bajo
130646,alto
600086,alto
363434,bajo
27086,medio-alto
484884,bajo
592927,bajo
608899,alto
433069,alto
427991,bajo
856295,alto
154788,medio-alto
691775,bajo
916597,medio-alto
482870,alto
698809,bajo
968566,alto
349473,bajo
478721,bajo
251894,alto
522849,alto
907374,alto
788212,alto
64043,medio-alto
3385,alto
560156,medio-bajo
946961,bajo
819269,alto
655696,bajo
593406,alto
260228,medio-alto
38650,medio-alto
680574,bajo
418519,medio-alto
128257,medio-bajo
477436,alto
584881,alto
753672,alto
310412,bajo
79780,alto
412875,alto
904542,bajo
754507,alto
249871,bajo
649642,bajo
153014,bajo
343230,alto
624476,alto
918441,alto
358128,alto
326158,alto
844072,bajo
402104,alto
639781,bajo
823091,bajo
132619,alto
323599,alto
964220,bajo
303559,alto
285186,alto
259595,medio-alto
315469,alto
605816,alto
889874,medio-bajo
148668,alto
27033,medio-alto
21186,medio-bajo
329197,medio-alto
63997,alto
159156,medio-bajo
839761,alto
495126,alto
845047,medio-bajo
313093,medio-bajo
149462,alto
611272,alto
560231,alto
388792,alto
702135,alto
766839,alto
810844,medio-alto
980884,alto
753648,medio-bajo
57594,alto
346480,medio-bajo
730914,alto
837288,medio-alto
252310,alto
235807,alto
341031,alto
74091,alto
20531,medio-bajo
374920,medio-bajo
269968,alto
236505,alto
264885,alto
533044,alto
94081,alto
371037,alto
67103,alto
820054,alto
565191,alto
49921,alto
161577,medio-alto
87142,bajo
378915,alto
437283,medio-bajo
802486,alto
966427,medio-alto
55296,bajo
878180,alto
40657,alto
198794,alto
158496,alto
871255,medio-alto
355384,alto
528272,medio-alto
864975,bajo
622161,bajo
276199,alto
561772,alto
68502,alto
927795,alto
923157,medio-bajo
68196,bajo
871261,bajo
139874,bajo
122112,bajo
440839,bajo
563474,alto
412442,alto
524128,bajo
256609,medio-alto
557994,alto
538357,alto
217728,medio-bajo
98755,medio-bajo
104519,alto
91279,bajo
7870,bajo
666497,medio-bajo
936365,medio-alto
488754,medio-bajo
892560,alto
126475,alto
416093,bajo
568723,medio-alto
553766,bajo
102195,alto
402323,alto
522953,alto
613922,bajo
627649,alto
877165,bajo
95303,alto
489308,alto
291442,bajo
893224,medio-alto
852875,alto
318955,medio-bajo
414965,bajo
21861,alto
848301,medio-alto
880274,bajo
364398,alto
769196,alto
17685,medio-alto
307454,bajo
692701,alto
781530,medio-alto
519808,bajo
717606,alto
36507,alto
282475,alto
681143,bajo
566647,medio-alto
750105,alto
961847,alto
514293,alto
976264,bajo
656712,bajo
330854,bajo
300617,medio-alto
118951,alto
771000,alto
118220,alto
304294,medio-alto
690444,alto
292735,bajo
448322,medio-alto
415459,medio-alto
500182,alto
174635,medio-alto
223388,medio-alto
520031,bajo
271324,alto
42104,alto
738839,bajo
220784,alto
886236,bajo
913965,bajo
964518,alto
515501,alto
748253,bajo
96413,alto
914771,alto
364499,alto
104745,alto
439931,bajo
687134,alto
745402,alto
552015,alto
911776,alto
25567,medio-alto
669827,alto
813737,alto
372830,alto
607975,bajo
638423,alto
897638,medio-alto
112986,bajo
381282,bajo
590687,bajo
818999,alto
102560,bajo
356272,alto
350683,alto
288511,alto
976139,bajo
184652,alto
760679,bajo
55953,bajo
910467,alto
923282,bajo
75536,alto
457204,medio-bajo
364268,alto
798840,medio-alto
154410,alto
865902,bajo
529867,medio-alto
243338,alto
396872,alto
268972,bajo
15021,medio-alto
82591,alto
676250,medio-alto
721258,medio-alto
921622,alto
656847,medio-bajo
30487,alto
985568,bajo
496291,alto
112066,bajo
410186,alto
137829,alto
66819,alto
572282,bajo
381168,alto
98782,alto
164554,alto
18972,bajo
894017,alto
656826,alto
600819,medio-bajo
211576,alto
711644,bajo
933083,alto
790377,alto
785223,bajo
105354,bajo
563256,alto
135105,bajo
23450,medio-bajo
62260,bajo
620336,bajo
702172,bajo
733491,alto
614300,bajo
485836,alto
629502,medio-bajo
918019,alto
68113,alto
875215,alto
545886,alto
902608,medio-alto
205220,alto
454987,medio-alto
861970,medio-alto
952304,bajo
581352,alto
210166,medio-alto
884521,alto
407885,alto
754111,medio-bajo
922618,medio-bajo
844792,alto
865048,bajo
405424,medio-alto
78132,bajo
310476,bajo
759125,medio-alto
83693,alto
717865,alto
883950,bajo
619008,alto
328964,alto
23097,bajo
957967,medio-alto
299341,bajo
324366,bajo
318339,alto
166099,bajo
27503,alto
284745,alto
518065,alto
970263,bajo
712963,alto
794524,alto
508720,alto
600622,alto
680552,alto
459776,bajo
515235,bajo
581640,medio-alto
222938,alto
713138,bajo
69564,alto
92240,alto
584020,alto
809269,bajo
906941,alto
720097,medio-bajo
581373,bajo
679275,alto
482332,alto
969725,bajo
593699,bajo
129597,alto
408575,bajo
965844,alto
513275,bajo
657656,medio-alto
784235,medio-bajo
335490,alto
842551,medio-alto
411427,alto
436688,bajo
267624,bajo
656590,medio-bajo
721508,bajo
760001,bajo
319243,alto
600326,medio-alto
430807,alto
786096,bajo
571334,medio-alto
318920,alto
712008,alto
209893,bajo
176009,alto
439150,bajo
130970,bajo
111859,bajo
518641,alto
941436,alto
430494,medio-bajo
475464,alto
550328,bajo
559536,alto
132838,alto
732168,bajo
789564,alto
138668,medio-bajo
179665,alto
239215,bajo
84342,bajo
320638,bajo
914572,alto
464701,alto
447620,alto
294280,alto
162590,alto
387951,medio-bajo
354432,medio-alto
168455,alto
673360,alto
189880,medio-bajo
893537,bajo
777124,bajo
673203,medio-alto
554365,alto
637657,alto
983927,medio-alto
941766,bajo
790872,alto
590719,alto
385690,alto
892223,alto
612431,alto
682485,bajo
942032,bajo
371920,bajo
552187,medio-alto
612143,alto
318210,medio-bajo
811238,alto
316437,alto
277253,medio-alto
788316,bajo
466699,alto
520411,bajo
263314,alto
610379,alto
238614,medio-bajo
150962,alto
243943,medio-alto
16287,alto
241746,alto
958125,bajo
431258,bajo
632497,alto
80328,alto
125118,alto
189019,medio-bajo
553710,bajo
666059,bajo
385026,medio-bajo
300471,alto
85774,alto
854533,alto
207633,bajo
67514,alto
610064,bajo
205287,alto
727520,bajo
492971,alto
935237,alto
772559,bajo
722618,bajo
973049,alto
573642,medio-bajo
23833,alto
649410,alto
860118,alto
119804,alto
471540,alto
374065,bajo
356187,medio-alto
259749,alto
836285,alto
785344,medio-alto
740112,alto
553345,alto
477951,medio-bajo
38322,alto
866421,bajo
286991,medio-alto
769983,medio-alto
584694,medio-alto
810540,alto
374598,bajo
597055,bajo
937647,alto
315899,alto
141493,alto
945197,medio-bajo
509032,medio-bajo
784756,alto
71434,alto
273787,alto
783644,bajo
129774,alto
627499,bajo
840003,bajo
960894,medio-alto
391773,medio-alto
94716,medio-alto
905669,alto
734051,alto
527444,bajo
780571,alto
318706,alto
516473,alto
651523,bajo
103816,medio-alto
540415,medio-bajo
295040,bajo
878980,alto
4618,alto
740437,alto
152309,bajo
310297,alto
71676,alto
452599,alto
45431,alto
83133,alto
811746,bajo
957795,bajo
927088,alto
681740,alto
193957,alto
112182,bajo
152531,alto
546626,bajo
231264,medio-alto
363688,alto
894053,bajo
943231,alto
102387,bajo
552927,alto
398291,alto
18232,bajo
283616,alto
259055,alto
864631,alto
245764,bajo
922138,medio-alto
232897,alto
271306,medio-alto
399521,bajo
581244,alto
156097,bajo
261880,alto
266164,bajo
337452,alto
905883,alto
289303,bajo
665508,alto
925940,medio-alto
21053,alto
858664,alto
508561,alto
228078,bajo
508373,alto
259149,alto
790725,alto
438545,alto
354776,bajo
946868,alto
928384,medio-bajo
186483,alto
310432,medio-bajo
298326,medio-bajo
360042,alto
77758,medio-alto
774317,bajo
791440,medio-alto
151278,bajo
30555,medio-bajo
876569,alto
459151,medio-alto
776789,alto
52658,alto
283325,medio-alto
436122,alto
453320,alto
487249,bajo
264209,alto
509297,alto
316754,alto
678571,alto
524021,alto
580021,bajo
621342,medio-bajo
483002,alto
820194,alto
707720,alto
569172,alto
63280,alto
286843,alto
544591,bajo
904784,alto
74488,alto
261085,alto
888582,alto
734238,medio-bajo
720579,alto
92202,medio-alto
922230,alto
727884,medio-alto
562351,alto
677317,medio-alto
976492,bajo
502976,bajo
509836,medio-alto
460319,alto
596316,alto
531700,alto
772789,alto
80427,alto
129119,bajo
843191,alto
318593,alto
448024,medio-alto
283519,alto
839831,alto
796867,alto
127422,medio-alto
499242,alto
67728,alto
319275,alto
938934,alto
38739,medio-alto
963896,medio-alto
87719,bajo
922016,medio-bajo
682077,alto
90891,alto
414080,bajo
977602,bajo
231406,alto
127315,alto
730466,medio-bajo
594645,alto
1811,medio-alto
454073,alto
392281,alto
616972,bajo
636699,medio-bajo
673420,alto
565893,alto
124706,bajo
761320,bajo
960994,alto
154674,bajo
979260,alto
57536,alto
55120,alto
22567,bajo
2461,alto
72730,bajo
465267,bajo
758456,bajo
446496,medio-bajo
742730,medio-alto
448892,medio-alto
530195,alto
265782,medio-alto
744928,alto
695418,alto
108130,bajo
480241,alto
301661,bajo
238587,alto
244343,alto
904563,alto
136079,bajo
80183,medio-alto
893919,medio-alto
530756,alto
473776,alto
978277,medio-bajo
643209,alto
386792,bajo
850928,alto
921897,alto
958993,bajo
28680,alto
125353,medio-bajo
172851,alto
61475,bajo
723832,medio-bajo
260083,alto
161086,alto
813063,alto
477065,alto
245030,alto
58369,alto
247021,bajo
929113,alto
245989,medio-alto
797269,medio-bajo
676418,bajo
758819,medio-alto
521096,alto
95313,alto
688395,medio-alto
351886,medio-bajo
905462,alto
943095,alto
396203,bajo
211675,alto
349887,medio-bajo
240712,alto
101227,medio-alto
868956,bajo
444147,bajo
546484,alto
237798,medio-alto
27217,alto
244784,medio-alto
234387,bajo
393590,medio-bajo
179458,alto
832328,bajo
46163,bajo
915005,alto
628265,alto
296190,alto
233848,medio-alto
323181,medio-bajo
103115,alto
693746,alto
928161,alto
558476,alto
669102,alto
566892,bajo
936227,alto
216126,bajo
11284,bajo
847967,alto
978525,medio-bajo
358437,alto
702861,medio-bajo
912632,alto
162250,alto
797888,bajo
115333,alto
715432,alto
500235,bajo
88076,bajo
413046,alto
583631,alto
123271,bajo
171403,bajo
694332,bajo
761100,alto
232116,alto
912153,alto
283344,medio-bajo
690893,alto
428552,alto
580983,bajo
427793,alto
944883,bajo
294928,alto
132023,bajo
601715,alto
575668,alto
220006,alto
836776,bajo
860956,alto
53485,medio-alto
239204,medio-alto
655565,bajo
650673,bajo
789792,bajo
385563,bajo
519202,alto
541916,medio-alto
966725,medio-bajo
888510,bajo
180792,alto
560427,medio-alto
509271,alto
660255,medio-alto
270519,bajo
667546,alto
821441,bajo
274418,bajo
661270,alto
990,alto
378405,alto
808327,alto
322438,bajo
